#
Not MAP,MAPwindow,isRPM,Sensor,MAP ADC,RPM,Tooth No,MAP
Flag,Flag,Flag,#,ADC,rpm,tooth,kPa
MARK 000
0.000,0.000,0.000,0.000,333.000,1455.000,1.000,91.378
0.000,0.000,0.000,0.000,333.000,1455.000,1.000,91.378
0.000,0.000,0.000,0.000,333.000,1455.000,1.000,91.378
0.000,0.000,0.000,0.000,333.000,1455.000,1.000,91.378
0.000,0.000,0.000,0.000,331.000,1455.000,1.000,90.890
0.000,0.000,0.000,0.000,326.000,1455.000,1.000,89.668
0.000,0.000,0.000,0.000,316.000,1455.000,1.000,87.224
0.000,0.000,0.000,0.000,312.000,1455.000,1.000,86.246
0.000,0.000,0.000,0.000,290.000,1455.000,1.000,80.870
0.000,1.000,0.000,0.000,289.000,1455.000,1.000,80.626
0.000,1.000,0.000,0.000,294.000,1455.000,1.000,81.848
0.000,1.000,0.000,0.000,304.000,1455.000,1.000,84.291
0.000,1.000,0.000,0.000,314.000,1455.000,1.000,86.735
0.000,1.000,0.000,0.000,323.000,1455.000,1.000,88.935
0.000,1.000,0.000,0.000,328.000,1455.000,1.000,90.156
0.000,1.000,0.000,0.000,329.000,1455.000,1.000,90.401
0.000,1.000,0.000,0.000,326.000,1455.000,1.000,89.668
0.000,1.000,0.000,0.000,321.000,1455.000,1.000,88.446
0.000,1.000,0.000,0.000,315.000,1455.000,1.000,86.979
0.000,1.000,0.000,0.000,312.000,1455.000,1.000,86.246
0.000,1.000,0.000,0.000,312.000,1455.000,1.000,86.246
0.000,1.000,0.000,0.000,314.000,1455.000,1.000,86.735
0.000,1.000,0.000,0.000,320.000,1455.000,1.000,88.201
0.000,1.000,0.000,0.000,324.000,1455.000,1.000,89.179
0.000,1.000,0.000,0.000,328.000,1455.000,1.000,90.156
0.000,1.000,0.000,0.000,330.000,1455.000,1.000,90.645
0.000,1.000,0.000,0.000,330.000,1455.000,1.000,90.645
0.000,1.000,0.000,0.000,328.000,1455.000,1.000,90.156
0.000,1.000,0.000,0.000,326.000,1455.000,1.000,89.668
0.000,1.000,0.000,0.000,323.000,1455.000,1.000,88.935
0.000,1.000,0.000,0.000,322.000,1455.000,1.000,88.690
0.000,1.000,0.000,0.000,320.000,1455.000,1.000,88.201
0.000,1.000,0.000,0.000,319.000,1455.000,1.000,87.957
0.000,1.000,0.000,0.000,320.000,1455.000,1.000,88.201
0.000,1.000,0.000,0.000,322.000,1455.000,1.000,88.690
0.000,1.000,0.000,0.000,325.000,1455.000,1.000,89.423
0.000,1.000,0.000,0.000,328.000,1455.000,1.000,90.156
0.000,1.000,0.000,0.000,329.000,1455.000,1.000,90.401
0.000,1.000,0.000,0.000,331.000,1455.000,1.000,90.890
0.000,1.000,0.000,0.000,330.000,1455.000,1.000,90.645
0.000,1.000,0.000,0.000,330.000,1455.000,1.000,90.645
0.000,1.000,0.000,0.000,328.000,1455.000,1.000,90.156
