//------------------------------------------------------------------------------
//--  Generated by TunerStudio 
//--  Date: 12-20-2022
//--  Time: 21:28
//--  This file merely records what was sent to your Controller,        
//--  and may be deleted at any time.                                                    
//--  Selected type: Coolant Temperature Sensor 
//------------------------------------------------------------------------------

//-- generated using refTable Generator:thermGenerator
//-- Table Identifier:000//--    Generated by ThermTableGenerator using user input values. 
//--    Bias Resistor value: 2490 Ohms
//--    Temperature1: 9.1(C), 	Resistance 1: 3810 Ohms 
//--    Temperature2: 23.5(C), 	Resistance 2: 2150 Ohms 
//--    Temperature3: 41(C), 	Resistance 3: 1110 Ohms 
//-- 

//----------------------------------------------------------//
ADC 	Value 	MSVal 	volts
382	91.75	918 	1.865
383	91.56	916 	1.870
384	91.36	914 	1.875
385	91.16	912 	1.880
386	90.96	910 	1.885
387	90.76	908 	1.890
388	90.56	906 	1.895
389	90.36	904 	1.899
390	90.17	902 	1.904
391	89.97	900 	1.909
392	89.77	898 	1.914
393	89.57	896 	1.919
394	89.38	894 	1.924
395	89.18	892 	1.929
396	88.99	890 	1.934
397	88.79	888 	1.938
398	88.59	886 	1.943
399	88.40	884 	1.948
400	88.20	882 	1.953
401	88.01	880 	1.958
402	87.81	878 	1.963
403	87.62	876 	1.968
404	87.43	874 	1.973
405	87.23	872 	1.978
406	87.04	870 	1.982
407	86.84	868 	1.987
408	86.65	867 	1.992
409	86.46	865 	1.997
410	86.27	863 	2.002
411	86.07	861 	2.007
412	85.88	859 	2.012
413	85.69	857 	2.017
414	85.50	855 	2.021
415	85.30	853 	2.026
416	85.11	851 	2.031
417	84.92	849 	2.036
418	84.73	847 	2.041
419	84.54	845 	2.046
420	84.35	843 	2.051
421	84.16	842 	2.056
422	83.97	840 	2.061
423	83.78	838 	2.065
424	83.59	836 	2.070
425	83.40	834 	2.075
426	83.21	832 	2.080
427	83.02	830 	2.085
428	82.83	828 	2.090
429	82.64	826 	2.095
430	82.45	825 	2.100
431	82.26	823 	2.104
432	82.08	821 	2.109
433	81.89	819 	2.114
434	81.70	817 	2.119
435	81.51	815 	2.124
436	81.32	813 	2.129
437	81.14	811 	2.134
438	80.95	809 	2.139
439	80.76	808 	2.144
440	80.57	806 	2.148
441	80.39	804 	2.153
442	80.20	802 	2.158
443	80.01	800 	2.163
444	79.83	798 	2.168
445	79.64	796 	2.173
446	79.46	795 	2.178
447	79.27	793 	2.183
448	79.08	791 	2.188
449	78.90	789 	2.192
450	78.71	787 	2.197
451	78.53	785 	2.202
452	78.34	783 	2.207
453	78.16	782 	2.212
454	77.97	780 	2.217
455	77.79	778 	2.222
456	77.60	776 	2.227
457	77.42	774 	2.231
458	77.23	772 	2.236
459	77.05	771 	2.241
460	76.87	769 	2.246
461	76.68	767 	2.251
462	76.50	765 	2.256
463	76.32	763 	2.261
464	76.13	761 	2.266
465	75.95	759 	2.271
466	75.77	758 	2.275
467	75.58	756 	2.280
468	75.40	754 	2.285
469	75.22	752 	2.290
470	75.03	750 	2.295
471	74.85	749 	2.300
472	74.67	747 	2.305
473	74.49	745 	2.310
474	74.30	743 	2.314
475	74.12	741 	2.319
476	73.94	739 	2.324
477	73.76	738 	2.329
478	73.58	736 	2.334
479	73.39	734 	2.339
480	73.21	732 	2.344
481	73.03	730 	2.349
482	72.85	728 	2.354
483	72.67	727 	2.358
484	72.49	725 	2.363
485	72.31	723 	2.368
486	72.12	721 	2.373
487	71.94	719 	2.378
488	71.76	718 	2.383
489	71.58	716 	2.388
490	71.40	714 	2.393
491	71.22	712 	2.397
492	71.04	710 	2.402
493	70.86	709 	2.407
494	70.68	707 	2.412
495	70.50	705 	2.417
496	70.32	703 	2.422
497	70.14	701 	2.427
498	69.96	700 	2.432
499	69.78	698 	2.437
500	69.60	696 	2.441
501	69.42	694 	2.446
502	69.24	692 	2.451
503	69.06	691 	2.456
504	68.88	689 	2.461
505	68.70	687 	2.466
506	68.52	685 	2.471
507	68.34	683 	2.476
508	68.16	682 	2.480
509	67.98	680 	2.485
510	67.80	678 	2.490
511	67.62	676 	2.495
512	67.44	674 	2.500
513	67.27	673 	2.505
514	67.09	671 	2.510
515	66.91	669 	2.515
516	66.73	667 	2.520
517	66.55	665 	2.524
518	66.37	664 	2.529
519	66.19	662 	2.534
520	66.01	660 	2.539
521	65.83	658 	2.544
522	65.66	657 	2.549
523	65.48	655 	2.554
524	65.30	653 	2.559
525	65.12	651 	2.563
526	64.94	649 	2.568
527	64.76	648 	2.573
528	64.59	646 	2.578
529	64.41	644 	2.583
530	64.23	642 	2.588
531	64.05	641 	2.593
532	63.87	639 	2.598
533	63.69	637 	2.603
534	63.52	635 	2.607
535	63.34	633 	2.612
536	63.16	632 	2.617
537	62.98	630 	2.622
538	62.80	628 	2.627
539	62.62	626 	2.632
540	62.45	624 	2.637
541	62.27	623 	2.642
542	62.09	621 	2.646
543	61.91	619 	2.651
544	61.73	617 	2.656
545	61.56	616 	2.661
546	61.38	614 	2.666
547	61.20	612 	2.671
548	61.02	610 	2.676
549	60.84	608 	2.681
550	60.67	607 	2.686
551	60.49	605 	2.690
552	60.31	603 	2.695
553	60.13	601 	2.700
554	59.95	600 	2.705
555	59.78	598 	2.710
556	59.60	596 	2.715
557	59.42	594 	2.720
558	59.24	592 	2.725
559	59.06	591 	2.729
560	58.89	589 	2.734
561	58.71	587 	2.739
562	58.53	585 	2.744
563	58.35	584 	2.749
564	58.17	582 	2.754
565	58.00	580 	2.759
566	57.82	578 	2.764
567	57.64	576 	2.769
568	57.46	575 	2.773
569	57.28	573 	2.778
570	57.11	571 	2.783
571	56.93	569 	2.788
572	56.75	568 	2.793
573	56.57	566 	2.798
574	56.39	564 	2.803
575	56.22	562 	2.808
576	56.04	560 	2.813
577	55.86	559 	2.817
578	55.68	557 	2.822
579	55.50	555 	2.827
580	55.32	553 	2.832
581	55.15	551 	2.837
582	54.97	550 	2.842
583	54.79	548 	2.847
584	54.61	546 	2.852
585	54.43	544 	2.856
586	54.25	543 	2.861
587	54.07	541 	2.866
588	53.89	539 	2.871
589	53.72	537 	2.876
590	53.54	535 	2.881
591	53.36	534 	2.886
592	53.18	532 	2.891
593	53.00	530 	2.896
594	52.82	528 	2.900
595	52.64	526 	2.905
596	52.46	525 	2.910
597	52.28	523 	2.915
598	52.10	521 	2.920
599	51.92	519 	2.925
600	51.74	517 	2.930
601	51.57	516 	2.935
602	51.39	514 	2.939
603	51.21	512 	2.944
604	51.03	510 	2.949
605	50.85	508 	2.954
606	50.67	507 	2.959
607	50.49	505 	2.964
608	50.31	503 	2.969
609	50.13	501 	2.974
610	49.95	499 	2.979
611	49.77	498 	2.983
612	49.59	496 	2.988
613	49.41	494 	2.993
614	49.22	492 	2.998
615	49.04	490 	3.003
616	48.86	489 	3.008
617	48.68	487 	3.013
618	48.50	485 	3.018
619	48.32	483 	3.022
620	48.14	481 	3.027
621	47.96	480 	3.032
622	47.78	478 	3.037
623	47.60	476 	3.042
624	47.41	474 	3.047
625	47.23	472 	3.052
626	47.05	471 	3.057
627	46.87	469 	3.062
628	46.69	467 	3.066
629	46.50	465 	3.071
630	46.32	463 	3.076
631	46.14	461 	3.081
632	45.96	460 	3.086
633	45.78	458 	3.091
634	45.59	456 	3.096
635	45.41	454 	3.101
636	45.23	452 	3.105
637	45.04	450 	3.110
638	44.86	449 	3.115
639	44.68	447 	3.120
640	44.49	445 	3.125
641	44.31	443 	3.130
642	44.13	441 	3.135
643	43.94	439 	3.140
644	43.76	438 	3.145
645	43.58	436 	3.149
646	43.39	434 	3.154
647	43.21	432 	3.159
648	43.02	430 	3.164
649	42.84	428 	3.169
650	42.65	427 	3.174
651	42.47	425 	3.179
652	42.28	423 	3.184
653	42.10	421 	3.188
654	41.91	419 	3.193
655	41.73	417 	3.198
656	41.54	415 	3.203
657	41.36	414 	3.208
658	41.17	412 	3.213
659	40.98	410 	3.218
660	40.80	408 	3.223
661	40.61	406 	3.228
662	40.42	404 	3.232
663	40.24	402 	3.237
664	40.05	401 	3.242
665	39.86	399 	3.247
666	39.68	397 	3.252
667	39.49	395 	3.257
668	39.30	393 	3.262
669	39.11	391 	3.267
670	38.93	389 	3.271
671	38.74	387 	3.276
672	38.55	385 	3.281
673	38.36	384 	3.286
674	38.17	382 	3.291
675	37.98	380 	3.296
676	37.79	378 	3.301
677	37.60	376 	3.306
678	37.41	374 	3.311
679	37.22	372 	3.315
680	37.03	370 	3.320
681	36.84	368 	3.325
